executionTs,nombreCandidato,PROFUNDIDAD_1,PROFUNDIDAD_2,PROFUNDIDAD_3,PROFUNDIDAD_4,contabilizadas,totalActas,totalVotosValidos,porcentajeVotosValidos,tipoFiltro,idAmbitoGeografico
2026-06-08T13:44:05.871874+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,JAZAN,21,21,1711,49.565,ubigeo_nivel_03,1
2026-06-08T13:44:05.871874+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,JAZAN,21,21,1741,50.435,ubigeo_nivel_03,1
2026-06-08T13:44:06.593188+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,JUMBILLA,3,3,168,36.601,ubigeo_nivel_03,1
2026-06-08T13:44:06.593188+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,JUMBILLA,3,3,291,63.399,ubigeo_nivel_03,1
2026-06-08T13:44:07.278797+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,RECTA,2,2,64,28.7,ubigeo_nivel_03,1
2026-06-08T13:44:07.278797+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,RECTA,2,2,159,71.3,ubigeo_nivel_03,1
2026-06-08T13:44:07.944596+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,SAN CARLOS,3,3,161,40.759,ubigeo_nivel_03,1
2026-06-08T13:44:07.944596+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,SAN CARLOS,3,3,234,59.241,ubigeo_nivel_03,1
2026-06-08T13:44:09.626388+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,SHIPASBAMBA,6,6,366,37.577,ubigeo_nivel_03,1
2026-06-08T13:44:09.626388+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,SHIPASBAMBA,6,6,608,62.423,ubigeo_nivel_03,1
2026-06-08T13:44:10.245290+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,VALERA,4,4,288,41.499,ubigeo_nivel_03,1
2026-06-08T13:44:10.245290+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,VALERA,4,4,406,58.501,ubigeo_nivel_03,1
2026-06-08T13:44:10.891928+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,BONGARÁ,YAMBRASBAMBA,18,18,1225,40.323,ubigeo_nivel_03,1
2026-06-08T13:44:10.891928+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,BONGARÁ,YAMBRASBAMBA,18,18,1813,59.677,ubigeo_nivel_03,1
2026-06-08T13:44:11.738806+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,,162,170,12682,44.459,ubigeo_nivel_02,1
2026-06-08T13:44:11.738806+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,,162,170,15843,55.541,ubigeo_nivel_02,1
2026-06-08T13:44:12.340137+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,2,2,56,32.558,ubigeo_nivel_03,1
2026-06-08T13:44:12.340137+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,ASUNCIÓN,2,2,116,67.442,ubigeo_nivel_03,1
2026-06-08T13:44:12.987489+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,BALSAS,5,5,279,40.849,ubigeo_nivel_03,1
2026-06-08T13:44:12.987489+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,BALSAS,5,5,404,59.151,ubigeo_nivel_03,1
2026-06-08T13:44:13.605150+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,76,76,7395,49.521,ubigeo_nivel_03,1
2026-06-08T13:44:13.605150+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,76,76,7538,50.479,ubigeo_nivel_03,1
2026-06-08T13:44:14.275008+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,CHETO,3,3,170,40.189,ubigeo_nivel_03,1
2026-06-08T13:44:14.275008+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,CHETO,3,3,253,59.811,ubigeo_nivel_03,1
2026-06-08T13:44:14.948629+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,CHILIQUIN,4,4,195,41.935,ubigeo_nivel_03,1
2026-06-08T13:44:14.948629+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,CHILIQUIN,4,4,270,58.065,ubigeo_nivel_03,1
2026-06-08T13:44:15.640375+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,0,7,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:15.640375+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,CHUQUIBAMBA,0,7,0,0.0,ubigeo_nivel_03,1
2026-06-08T13:44:16.558897+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,GRANADA,2,2,111,31.18,ubigeo_nivel_03,1
2026-06-08T13:44:16.558897+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,GRANADA,2,2,245,68.82,ubigeo_nivel_03,1
2026-06-08T13:44:18.238648+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,HUANCAS,3,3,269,45.134,ubigeo_nivel_03,1
2026-06-08T13:44:18.238648+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,HUANCAS,3,3,327,54.866,ubigeo_nivel_03,1
2026-06-08T13:44:18.909349+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,LA JALCA,17,17,513,17.943,ubigeo_nivel_03,1
2026-06-08T13:44:18.909349+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,LA JALCA,17,17,2346,82.057,ubigeo_nivel_03,1
2026-06-08T13:44:19.590487+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10,10,769,46.325,ubigeo_nivel_03,1
2026-06-08T13:44:19.590487+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,10,10,891,53.675,ubigeo_nivel_03,1
2026-06-08T13:44:20.272988+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,LEVANTO,4,4,375,47.408,ubigeo_nivel_03,1
2026-06-08T13:44:20.272988+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,LEVANTO,4,4,416,52.592,ubigeo_nivel_03,1
2026-06-08T13:44:20.938764+00:00,KEIKO SOFIA FUJIMORI HIGUCHI,Perú,AMAZONAS,CHACHAPOYAS,MAGDALENA,3,3,224,40.801,ubigeo_nivel_03,1
2026-06-08T13:44:20.938764+00:00,ROBERTO HELBERT SANCHEZ PALOMINO,Perú,AMAZONAS,CHACHAPOYAS,MAGDALENA,3,3,325,59.199,ubigeo_nivel_03,1
